Start date,Start time,Machine No,Machine name,Process No,Line code,Line name,Leader,Problem detail,M/E,Finish date,Finish time,Bdtime,Repair time,Number of machine,BD.time,Status(Machine),Main PIC,Where,What happened,How,Failure category,Maint.category,Implementation detail,Root cause,Countermeasure Root cause,Status (Root cause),P.I.C (RC),Main reason for long time repair,Countermeasure long time breakdown,Status (Long Time),P.I.C (LT),Diagnosis,Spare Part,Tools,Work Ability,Setting Ability,Back up
10-11-25,08:40:13,PR9072,P/S T/B Press-fit,30,SA,Sensor Assy,Wicha,Can't auto start,E,11-10-25,08:50:12,10,10,1,10,Completed,Chayapon,Jig set part unit,Support photo sensor,Can't check part,Loose,Adjust,"1. Check photo confirm part (X31) no remain 
2. Check photo sersor (X2E) not on 
3. Check support photo sensor loose 
4. Adjust and lock support photo sensor  
5. Test auto start ok",Support phto sensor loose (Lock bolt not good),Re-tightening bolt lock support photo sensor,Completed,MT,Diagnosis,Create trouble shooting for problem analysis,Temporary,MT,10,0,0,10,0,0
11-11-25,08:55:48,KJ9137-1,Belt Running-in,110,GSA,Gear Sub-Assy,Arthid,Glue not flow,M,11-11-25,11:15:19,140,140,1,140,Completed,Chayapon,Glue supply unit,Guide dispenser,Not flow,Wear,Change,"1. Check glue not supply
2. Take off gun dispenser and check seal wear 
3. Check spare part seal not have
4. Change new seal 
5. test run ok",Dispensor seal wear,Change new seal ,Completed,MT,Spare Part,Add stock dispenser,Completed,PE,5,30,0,95,10,0
11-11-25,09:50:55,PR9070,"DMC Laser Marking, Dust Seal & 
Bearing Press-fit",10,SA,Sensor Assy,Wicha,Alarm back up cylinder time out,M,11-11-25,10:10:01,20,20,1,20,Completed,Chayapon,Jig press unit,Stopper ,Cylinder up down time over,Loose,Lock,"1. Check cylinder press bearing not end 
2. Check stopper cylinder loose
3.  Lock stopper 
4. Test working ok",Bolt lock stopper loose (Lock bolt not good),Re-tightening bolt lock stopper,Completed,MT,Diagnosis,Create trouble shooting for problem analysis,Temporary,MT,10,0,0,10,0,0
11-11-25,11:10:00,LA9072,I.D. Turning,70,PS,Pinion Machining,Narongsak,Turret not home position,E,11-11-25,16:25:00,245,245,1,245,Completed,Amarin,Turret unit,Pusher,Return not end,Dirty,Cleaning,"1. Check turrent not home position  
2. Check condition PLC turret X20.6 (light is stuck)  
3. Cleaning proximity sensor and clening cover 
4. Test move and run turret ok",Pusher stiky scrap to inside (Cover can't prevent scrap),request PDT cleaning inside pusher,Completed,PDT,Work Ability,modify cover for pusher,Completed,MT,35,0,0,200,10,0
11-11-25,15:53:07,PR9068,Mount Bush Press-fit,30,RH2,Housing Assy No.2,Ocha,Mount bush fall off,M,11-11-25,16:03:23,10,10,1,10,Completed,Chayapon,Jig set mount unit,Jig,Mount bush fall off,Dirty,Cleaning,"1. Take off jig setting mount bush 
2. Cleaning jig set mount bush
3. Test run ok",Jig set mount bush dirty,Cleaning jig,Completed,PDT,Diagnosis,PE design new jig mount bush,Completed,PE,0,0,0,0,10,0
12-11-25,10:00:54,PR9071,P/S Bearing Press-fit & Ring Caulking,20,SA,Sensor Assy,Wicha,Alarm BRG press-in DPM-NG,M,11-12-25,16:20:48,310,310,1,310,Completed,Anuntasuk,Jig support bearing unit,Jig support,Quality NG,Retainer NG,Change,"1. Check jig supprot bearing and check alignmant support 
2. Adjust alignmant jig support 
3. QC confirm retainer NG 
4. Change new lot retainer",Retainer NG,Change new retainer,Completed,PDT,Work Ability,Create trouble shooting for problem analysis,Temporary,MT,250,0,0,60,0,0
12-11-25,10:53:06,KJ9135-2,Ring Assy Tightening,70,GSA,Gear Sub-Assy,Arthid,Alarm grease application over time error,M,11-12-25,13:00:35,67,67,1,67,Completed,Apisit U.,Grease supply unit,Proximity sensor,Can't confirm pump return,Position NG,Adjust,"1. Take off amp meter confirm grease supply 
2. Check PLC program X314 grease return end not on
3. Adjust position proximity sensor confirm grease return end 
4. Test machine ok",Position sensor confirm grease supply loose,Adjust and lock proximity sensor confirm grease supply ,Completed,MT,Work Ability,Make JI for machine repair,Completed,MT,40,0,0,25,2,0
12-11-25,13:30:52,PR9067,Mount Bush Press-fit,20,RH2,Housing Assy No.2,Ocha,Clamp servo clamping mistake,M,11-12-25,15:10:58,90,60,1,90,Completed,Apisit U.,Press mount bush unit,Nut lock support ball screw,Position support ball screw NG,Loose,Lock,"1. Check nut lock support ball screw loose 
2. Lock nut support ball screw 
3. Set origin clamp servo new 
4. QC confirm quality ok
5. PDT run machine ok",Nut lock support ball screw loose (Lock nut not good),Re-tightening nut lock ball screw,Completed,MT,Work Ability,Make JI for machine repair,Completed,MT,20,0,0,20,20,0
12-11-25,17:12:13,RB9000,"Robot for Teeth Skiving-O.D. 
Grinding Machine",-,PS,Pinion Machining,Narongsak,Coolant inside to connector IAI clamp,E,11-12-25,17:50:45,38,38,1,38,Completed,Anuntasuk,Robot clamp part unit,Connector robot,coolant in connector,Short circuit,Cleaning,"1.Check coolant to inside connector 
2.Cleaning connector robot  
3. Test run machine ok",Coolane to inside connector (Not have seal),Add seal connector,Completed,PE,Diagnosis,Create trouble shooting for problem analysis,Temporary,MT,8,0,0,25,5,0
13-11-25,07:30:31,HT9005,"Teeth Side Induction Hardening 
And Tempering",70,RB,Rack Machining,Wirot,Alarm loading ST center unit fornt and black LS error,E,13-11-25,17:30:42,500,500,1,500,Completed,Apisit U.,Loading cenring unit,Wire photo sensor,Can't  confirm part,Cut,Change,"1. Check photo sensor confirm part not on
2. Check wriing photo sensor cut
3. Check spare part photo sensor not have
4. Change new photo sensor confirm part input ST centering (Photo sensor new model)
5. Keep wriing photo sensor
6. Test run machine ok",Wiring photo sensor cut (Keep wiring not good),Change new photo sensor and keep wiring new,Completed,MT,Spare Part,Add stock photo sensor,Completed,PE,20,100,0,300,80,0
14-11-25,01:30:00,WM9058,Washing & Air blow,120,RB,Rack Machining,Akasak,Alarm cleaning machine transport error,E,15-11-25,01:50:00,20,20,1,20,Completed,Chaiwat T.,Washing system,Photo sensor,On remain,Dirty,Cleaning,"1. Check PLC program X4D (Wash passage conf.) on remain 
2. Check phto sensor X4D dirty 
3. Cleaning Photo sensor X4D 
4. Test run auto ok",Photo sensor dirty ,Request PDT cleaning photo sensor,Completed,PDT,Work Ability,Make JI for machine repair,Temporary,MT,10,0,0,10,0,0
14-11-25,15:09:45,AM9035,Pulley Assembly & Blot Tightening,30,PSA,Pulley Sub-Assy,Ocha,Alarm NR2 up down LS SOL fault,M,14-11-25,15:53:42,44,44,1,44,Completed,Apisit,Nut runner unit,Cylinder,Cylinder down not end,Sticky,Take off,"1. Check position cylinder NR2 Down not end
2. Check cylinder NR2 down sticky 
3. Check hose supply bolt have bolt sticky 2Pcs.
4. Take off bolt in hose 
5. Test run machine ok",Bolt supply overlapping,PE check confirm bolt supply,Completed,PE,Diagnosis,PE investigate and countermeasure,Temporary,PE,14,0,0,20,10,0
16-11-25,09:50:57,ME9070,Teeth Side Straightening,80,RB,Rack Machining,Akasak,Jig slide part no slide,M,17-11-25,16:00:04,940,940,1,940,Completed,Anuntasuk K.,Jig slide part  unit,LM guide,jig not slide,Fins,Scrub,Check confirm condition and check confirm jig slide not slide and take off jig slide and scrub LM guide new and setting alignmant new and test run machine OK,scrub LM guide new,scrub LM guide new,,,Spare Part,PE order LM guide,Temporary,PE,,,,,,
17-11-25,08:30:40,GR9042,Thread Grinding,10,BN,Nut Machining,Kongrada,Gap dresser abnormal,M,17-11-25,09:30:38,60,60,3,20,Completed,Anuntasuk,Amp sensor unit,Sensor check gap,Alarm gap dresser,Abnormal,Cleaning,Check alarm gap dresser<check sensor checkgap abnomal<check Amp sensor checkgap<cleaning sensor check gap<test run ok,,,,,Diagnosis,Create trouble shooting for problem analysis,Temporary,,,,,,,
18-11-25,01:00:25,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Akasak,Alarm discharge ST port turning workpiece detection error,M,19-11-25,01:20:59,20,20,1,20,Completed,Apisit U.,Workpiece turning unit,Prox.sensor,On confirm work remain.,Dirty,Cleaning,Check sensor confirm work discharge ST on remain.Check support sensor dirty.Cleaning support sensor new.Test on off signal ok.PDT.Run machine ok.,,,,,Diagnosis,Create trouble shooting for problem analysis,Temporary,,,,,,,
18-11-25,13:00:15,WM9060,Washing & Air blow,90,PS,Pinion Machining,Narongsak,Condition check sheet item washing flow NG,E,18-11-25,16:00:23,170,170,1,170,Completed,Anuntasuk,Tank washing unit,Solinoid valve,Washing not flow,Short circuit,Change,Check alarm machine and checl machine condition NG and check solinoid valve Ng washing not flow and change new solinoid valve and test run machine OK,Change new solinoid valve,Change new solinoid valve,,,Spare Part,Add stock solenoid valve,Temporary,,,,,,,
18-11-25,13:05:00,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Wirot,Alarm input ST workpiece phase output final,M,18-11-25,13:40:00,35,35,1,35,Completed,Amarin B.,In put ST unit,Phase out gap sensor.,"Phase out sensor lower limit, Sensor abnormal",Abnormal,Adjust,"Check alarm machine, check phase out gap sensor NG visual check phase gap 5.40mm, Adjust the phase gap sensor distance 6.38 mm. OK.",,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
18-11-25,20:50:07,MX9019,DMC Leser Marking,30,RB,Rack Machining,Ekasak,Alarm overload fault ,M,18-11-25,22:15:18,75,75,1,75,Completed,Apisit U.,Auto door unit,Roller.,Can't open auto door end.,Alignment NG,Adjust,Check auto door unit.Check breaker M0CP11 Trip.Reset breaker new.Check auto door to hit IAI unit.Check roller door position NG.Alignment auto door new.Test open close ok.PDT.Run machine ok.,,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
19-11-25,08:00:19,MX9023,DMC Laser Marking,10,RH2,Housing Assy No.2,Ocha,Alarm DMC laser marking,M,19-11-25,08:20:51,20,20,1,20,Completed,Chaiyawat,Mist collector unit,Mist collector,Laser mark not run,Not sure,Change,Check confirm jig and check steep teble and check mist collector dirty and change new filter mist collector and test run machine OK,Filter mist collector clogged,Change new filter mis collector,Completed,MT,Diagnosis,Request PDT cleaning filter,Completed,PDT,0,0,0,20,0,0
19-11-25,13:45:00,KJ9134-2,Screw Tightening,40,GSA,Gear Sub-Assy,Arthid,Can't auto start,M,19-11-25,14:15:00,30,30,1,30,Completed,Amarin,Laser sensor unit,Laser sensor current valur over spec.,Support laser sensor loose bolt.,Loose,Lock,"Chack alarm machine, chack lasor sensor visual chack current value 28.00 mm. overspec, Applied bolt lock release agent and support lasser sensor.",Bolt lock laser sensor loose,Loctite support laser sensor new,Completed,MT,Diagnosis,Create trouble shooting for problem analysis,Completed,MT,10,0,0,10,10,0
19-11-25,19:30:50,HT9005,"Teeth Side Induction Hardening 
And Tempering",70,RB,Rack Machining,Ekasak,Machine not home position,M,20-11-25,09:00:50,720,720,1,720,Completed,Apisit U.,Tempering ST unit,Tempering lifting shaft axis 3,Need zero.,Position NG,Set zero,Data servo lost.Install PLC set zero tempering axis 3.Home ok.Test mc alarm tempering ST workpiece rotation slip detection.Take off encorder tempering return data rotation tooth phase out.Continual,,,,,Diagnosis,Create trouble shooting for problem analysis,Temporary,,,,,,,
20-11-25,15:20:23,WM9062,Washing & Air blow,30,RH1,Housing Assy No.1,Ocha,Part fall off,M,20-11-25,16:00:20,40,40,1,40,Completed,Chaiwat,Station 1,Jig set part,Jig loose,Wear,Repair,"1. Check jig set part station1 loose
2. Check spiral jig wear 
3. Repair spiral jig 
4. Test run machine ok",Spiral wear (Design not good),Design jig set part new,Completed,,Spare Part,PE order jig,Completed,PE,10,0,0,10,20,0
21-11-25,12:50:12,LA9069,O.D. Turning And Roller Burnishing,90,RB,Rack Machining,Wirot,Alarm foot switch,M,21-11-25,14:30:02,100,100,3,33.33333333,Completed,Anuntasuk K.,Jig clamp part unit,Bolt lock  cylinder advance return part,cylinder not clamp,Cut,Change,check step machine and check jig clamp and check cylinder clamp part and check confrim bolt lock cylinder cut and change new bolt lock cylinder and test run machine OK,Bolt lock cylinder cut,Change new bolt lock cylinder,,,Spare Part,PE design new bolt,Temporary,PE,,,,,,
21-11-25,15:30:17,MX9021,DMC Leser Marking,10,PS,Pinion Machining,Narongsak,Alarm box supply last box,M,21-11-25,15:50:14,20,20,1,20,Completed,Anuntasuk,IAI clamp part unit,Bolt lock support robot clamp part,Robot clamp part no centor,Loose,Applied ,Check alarm machine and check step machine and check jig clamp part and check confirm support robot clamp part bolt loose and applied bolt lock support new and test run machne Ok,,,,,Diagnosis,Create trouble shooting for problem analysis,Temporary,,,,,,,
21-11-25,17:00:00,KJ9135-2,Ring Assy Tightening,70,GSA,Gear Sub-Assy,Arthid,Jig has come off linear guide,M,21-11-25,18:50:00,110,110,1,110,Completed,Amarin,Jig stopper unit,Jig stopper.,Bolt broken.,Hit,Modify,"1. Check spare part and not stock
2. Modify bolt lock stopper M3 to M4
3. Check stopper alignment NG 
4. Modify LM guide pin lock stopper
5. Check confirm stopper alinment ok",Bolt lock jig broken (Design not good),PE desing jig new,Completed,PE,Spare Part,Add stock stopper,Completed,PE,10,20,0,75,5,0
21-11-25,18:00:59,WM9060,Washing & Air blow,90,PS,Pinion Machining,Narongsak,Washing water leak,M,21-11-25,18:10:09,10,10,1,10,Completed,Amarin,tank washing unit,O-ring pump washing,washing leak,Cut,Change,Check connector joint and check punp washing leak and check o-ring cut and change new o-ring  pump new and test run machine Ok,,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
22-11-25,12:35:09,GR9039,O.D. Grinding 1,50,PS,Pinion Machining,Narongsak,Alarm light curtain dousing,E,22-11-25,12:45:10,10,10,1,10,Completed,Amarin,Robot clamp part unit,cable robot,"Robot can't start, Cable obstucted safety",Position NG,Repair,Check alarm machine and check cable robot and repair cable robot new and test run machine OK,,,,,Spare Part,PE order new IAI,Temporary,PE,,,,,,
24-11-25,10:10:39,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Ekasak,Alarm tronsport left and night axis,E,24-11-25,10:15:15,5,5,1,5,Completed,Chaiwat T.,Clamp unit,Clamp,Alarm tronsport left and night axis,Abnormal,Check,"1check machine can't return position 2check conveying R/L not end 3 jog solenoid valve conveying chuck unclamp 1,2,3,4,5 retun 4 pdt test run machine ok",,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
24-11-25,10:30:13,GR9043,Thread Grinding,10,BN,Nut Machining,Kongrada,Alarm movement fault,M,24-11-25,10:40:03,10,10,3,3.333333333,Completed,Chaiwat,Auto door unit,Bolt lock auto door,Auto close not end,Loose,Lock,"1check auto door clos not end 
2check support auto door loose 
3check bolt lock support auto door loose 
4lock bolt support auto door  3 point 
5test auto door colse-open ok 
6test run machine ok",,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
24-11-25,12:30:16,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Ekasak,Chiller alarm E72,M,27-11-25,18:00:29,3180,3180,1,3180,Completed,Apisit U.,Chiller unit,Compresser,Can't supply cooling cool.,Broken,Alternate ,Bypass cooling of chiller HT9007 to chiller HT9006.Change new cooling water of tank cooling system.Worm cooling and quenchine.PDT.Test work N1 Qc check data ok.Waitting day shift judtment.Continual.,Compresser NG. ( Broken ),Alternate chiier HT-9007,Completed,MT,Spare Part,PE order compressor,Temporary,PE,,,,,,
26-11-25,09:00:46,ME9076,Sensor Balancing,60,SA,Sensor Assy,Wicha,Press NG,M,11-06-25,09:30:51,30,30,1,30,Completed,Anuntasuk,Pin press unit,Drill bit tip,Drill abnormal,Abnormal,Change,1check alarm machine 2check pin press ok 3check confirm center drill ok 4check confirm drill abnorml 5change new drill ok 6test run machine ok,,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
26-11-25,13:00:59,PR9071,P/S Bearing Press-fit & Ring Caulking,20,SA,Sensor Assy,Wicha,Check pickring up mistake,M,26-11-25,13:20:53,20,20,1,20,Completed,Anuntasuk,Jig unit,Lower jig,"Check pickring up mistake, Jig support stuck",Dirty,Cleaning,1check alarm machine 2check jig support bearing stuck 3check jig support dirty 4cleaning jig support 5setting alignment jig support 6test run machine ok,,,,,Spare Part,PE order spare part,Temporary,PE,,,,,,
26-11-25,13:20:12,GR9041,Thread Grinding,10,BN,Nut Machining,Kongrada,Alarm movement fault,M,26-11-25,13:40:17,20,20,3,6.666666667,Completed,CHIYAWAT,Auto door unit,Bolt lock auto door,Auto close not end,Loose,Lock,1check auto door clos not end 2check support auto door loose 3check bolt lock support auto door loose 4lock bolt support auto door  3 point 5test auto door colse-open ok 6test run machine ok,,,,,Work Ability,Make JI for machine repair,Temporary,,,,,,,
26-11-25,14:10:24,WM9062,Washing & Air blow,30,RH1,Housing Assy No.1,Ocha,Alarm servo error,E,26-11-25,15:20:10,60,60,1,60,Completed,Anuntasuk,Jig set part unit,Bolt lock jig jig set part,Rotation unsmooth,Loose,Repair,"1. Check bolt jig set part loose 
2. Lock con firm bolt
3.  test run machine ok",Bolt lock jig loose (Install not good),Lock confirm jig,Completed,MT,Work Ability,PE request maker countermeasure,Completed,PE,10,0,0,30,20,0
27-11-25,08:20:21,AM9038,Ball Screw & Plate Greasing,10,GSA,Gear Sub-Assy,Arthid,Machine running have noise,M,27-11-25,15:20:28,388,388,1,388,Completed,Chaiwat,Jig support bearing unit,Jig support bearing,Quality NG,Fins,Adjust,"1. QC check confrim part have fins
2. Check concentric lower jig and upper jig over spec
3. Adjust concentric lower jig and upper jig = 30 micron 
4. PDT test run machine ok",Concentric jig upper and jig lower NG (Install not good),Adjust alignmant machine new,Temporary,MT,Diagnosis,Create trouble shooting for problem analysis,Completed,MT,50,0,0,330,8,0
27-11-25,16:25:12,KJ9136-1,Rack Guide Assembly,90,GSA,Gear Sub-Assy,Arthid,Jig has come off linear guide,M,27-11-25,17:30:54,45,45,1,45,Completed,Amarin,Jig support housing unit,bolt ,Can't lock position,Broken,Change,"1. Check stopper fall off
2. Check bolt lock stopper broken
3. Change new bolt lock stopper and modify bolt M3>M5 
4. Test run machine ok",Bolt stopper broken (Design not good),Change new bolt lock stopper,Completed,MT,Spare Part,Request PE design new jig and stopper,Completed,PE,10,0,0,20,15,0
02-12-25,08:00:44,AM9038,Ball Screw & Plate Greasing,10,GSA,Gear Sub-Assy,Arthid,Machine running have noise,M,12-02-25,14:40:01,400,400,1,400,Completed,Apisit,Jig center ball screw unit,Ball screw,Running noise,Abnormal,Adjust,"1. Test running ball screw have noise
2. Check alignmnt jig center
3. Adjust alignmant jig center 
4. Lock confirm bolt all ball screw 
5. Adjust RB clamp torque limit 30>32 
6. Test run machine ok",The real cause is unknown,Monitoring cause,Temporary,MT,Diagnosis,Contact maker to help analyze root cause,Completed,PE,245,0,0,150,5,0
03-12-25,08:50:00,GC9009,Teeth Hobbing,20,PS,Pinion Machining,Narongsak,Alarm NC fault,E,12-03-25,09:20:00,30,30,1,30,Completed,AMARIN,ALL AXIS ERROR,NOT SURE.,SPEED AXIS ALL EROOR.,Error,Power off machine,"CHECK ALARM MACHINE, POWER OFF ON RETURN MACHINE, TEST RUN MACHINE OK, PDT TEST RUN MACHINE OK.",,,,,Diagnosis,Create trouble shooting to help analyze problem,Temporary,,,,,,,
03-12-25,09:40:00,PR9068,Mount Bush Press-fit,30,RH2,Housing Assy No.2,Ocha,Alarm lower chuck U/D cylinder cycle time out,M,12-03-25,09:50:00,10,10,1,10,Completed,Aunutasuk,Jig clamp mount bush unit,Auto sensor,Clamp not end,Position NG,Adjust,"1. Check jig clamp mount bush not end
2. Check auto sensor clamp mount bush not on
3. Adjust position auto sensor
4. Test run ok",Position auto sensor not good,Adjust position auto sensor,Completed,MT,Diagnosis,Make trouble shooting,Completed,MT,5,0,0,5,0,0
04-12-25,08:30:00,KJ9137-1,Belt Running-in,110,GSA,Gear Sub-Assy,Arthid,Skip process,E,12-04-25,08:50:00,20,20,1,20,Completed,Chayapon,Nut runner unit,Screw drive,Not use screw tighting,Abnormal,Operate step,"1. Check comfirm connector screw drive ok
2. PDT test run skip prroccess
3. Manual step machine and home position
4. Check panel PDT off condition bolt tightening > not use
5. PDT on  condition bolt tightening > use",Condition bolt tightening off (PDT opration mistake),On condition bolt tightening ,Completed,PDT,Setting Ability,Training operation machine to member,Completed,,5,0,0,5,10,0
04-12-25,09:00:00,AM9038,Ball Screw & Plate Greasing,10,GSA,Gear Sub-Assy,Arthid,Machine running have noise,M,12-04-25,12:50:00,160,160,1,160,Completed,Amarin,Rack bar clamp unit,Jig center upper,Jig center upper alignment NG,Not sure,Change,"1. Test running machine have noise
2. Check comfirm alignment jig center upper ok
3. Check confirm runout jig upper ok
4. Test run machine have noise",Not sure,On investigating,Temporary,MT,Diagnosis,Root cause of this problem not yet identified; PE is consulting with JJP to find the cause,Temporary,MT,100,0,0,60,0,0
04-12-25,14:10:00,MX9021,DMC Leser Marking,10,PS,Pinion Machining,Narongsak,Machine running remain,M,12-04-25,14:30:00,20,20,1,20,Completed,Chayapon,Gripper load out unit,Bolt lock support gripper clamp,Running remain,Loose,Lock,"check confirm position jig slide abnomal, check position gripper down NG, check step working gripper OK, setting alignment gripper and confirm lock new bolt, test auto run OK.",,,,,Work Ability,Cable replacement requires long routing; may add terminal box for closer connection,Temporary,,,,,,,
04-12-25,20:50:00,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Aekachai,Can't master on,E,12-04-25,22:30:00,90,80,1,90,Completed,Chaiwat T.,Auto door unit,Safety door sensor,Can't master on,Short circuit,Change,Check safety door sensor (DLK-2) short circuit (Cover safety door broken coolant to inside circuit board) > Change new safety door and wiring cable > Test run ok,Safety door sensor short circuit,Add cover safety door prevent coolant from entering,,,Diagnosis,Contact maker to help analyze root cause,Temporary,,,,,,,
08-12-25,08:00:24,KJ9137-2,Side Cover Tightening,130,GSA,Gear Sub-Assy,Arthid,Work rotation slip,M,12-08-25,10:00:36,110,110,1,110,Completed,Chaypon,Work rotation unit,Jig center upper,Jig center upper not smooth,Dirty,Cleaning,"1. Check and take jig lower 
2. Check confirm alignment jig center upper
3. Cleaning jig upper center
4.test run machine OK",Jig center dirty ,PDT set self maintanance cleaning jig center unit,Completed,PDT,Diagnosis,Create trouble shooting to help analyze problem,Completed,MT,30,0,0,60,20,0
08-12-25,08:55:11,CV9007,"Conveyor Part for Induction -Teeth 
Skiving Machine",-,PS,Pinion Machining,Narongsak,Loader can't forward-reward ,M,12-08-25,09:10:40,15,15,1,15,Completed,Apisit,Jig set part unit,Jig set work gipper work down,gipper work down sticky jig,Fins,Scrub,Check jig sittng and scrub fins jig set work and test gipper down OK,,,,,Tools,Request maker re-tighten bolt crane,Temporary,,,,,,,
08-12-25,10:00:09,MX9021,DMC Leser Marking,10,PS,Pinion Machining,Narongsak,Alarm work load out process time over,M,12-08-25,10:30:15,30,30,1,30,Completed,Anuntasuk,Jig support unit,Jig support part,Alignmant jig abnormal,Wear,Change,Check alarm machine and check step machine and Check jig support part wear and change new jig support and test run machine OK,,,,,Work Ability,Problem from poor pallet setup (Re-adjust pallet position),Temporary,,,,,,,
08-12-25,11:20:00,ME9083,Running-in,20,GA,Gear Assy,Kittipon,Pallet transfer can't operate,E,12-08-25,14:20:00,120,120,1,120,Completed,Amarin,Pallet transfer unit,Loading pallet,Not end position,Position NG,Setting,"Check confirm pallet OK, Check confirm connecter and cleaning, check condition program PLC, check confirm position pallet, setting loading forward position before 525.0 mm. chang after 524.7 mm.",Position loading forward NG,PE check position all model,Completed,PE,Spare Part,Order spare part (Jig support part),Temporary,PE,30,0,0,80,10,0
08-12-25,15:30:00,KJ9139-2,"OBJ Assembly & Label Attachment, Visual Ins",141,GA,Gear Assy,Kittipon,Crane can't lift the load,M,12-08-25,16:10:00,40,40,1,40,Completed,Amarin,Overhead crane unit,Cable clamp,Cable clamp loose,Loose,Lock,"1. Check nut lock cable clamp loose
2. Lock confirm nut
3. PDT test run ok ",Nut lock cable loose (Maker lock nut not good),Maker add double nut anti-loose,Completed,PE,Work Ability,Have PDT add self maintenance cleaning jig center before starting work,Completed,PDT,,,,,,
09-12-25,09:00:00,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Ekasak,Alarm discharge ST port turning workpiece detection error,M,12-09-25,14:30:00,260,260,1,260,Completed,Amarin B.,Discharge ST unit,Reed switch sensor abnormal,Turning on remain,Abnormal,Change,"Check cylinder work rotation home position/work rotation, check reed switch sensor home pisition on remain,Test cylinder work rotation home position/work rotation reed switch sensor on/off normal.",,,,,Spare Part,Order spare part Cylinder (Already added to stock),Temporary,,,,,,,
09-12-25,12:45:00,MX9021,DMC Leser Marking,10,PS,Pinion Machining,Narongsak,Alarm work in loader gripper ,M,12-09-25,12:55:00,10,10,1,10,Completed,Amarin,Loader unit,Loader gripper ST,Jig set work,Wear,Scrub,"Check alarm machine check jig stting work wear, surub jig set new work, test run gripper down OK, PDT test auto run machine  OK.",,,,,Spare Part,Order spare part (Jig set part),Temporary,,,,,,,
10-12-25,15:20:11,PR9076,DAC Press-fit & Retainer Caulking,20,PSA,Pulley Sub-Assy,Ocha,Jig lower fall off,M,12-10-25,15:40:17,20,20,1,20,Completed,Chayapon,Jig press lower unit,Jig press lower,Can't put it together,Fins,Scrub,"1. Check confirm jig lower have fins
2.  Scrub jig press
3. Test run machine ok",Jig press lower have fins (Design not good),Request PDT check jig press unit ,Completed,PDT,Spare Part,PE order and design new jig,Completed,PE,0,0,0,10,10,0
10-12-25,20:40:00,HT9006,"Ball Screw Side Induction 
Hardening And Tempering",140,RB,Rack Machining,Aekkachai,Alarm discharge ST intermediate loading workpiece,E,12-10-25,21:15:00,35,30,1,35,Completed,Chaiwat T.,Discharge ST unit,Proximity sensor,Can't home position,Loose,Lock,Check proximity sensor discharge ST part conf. not on (Sensor loose) -> Add nut & spring washer lock proximity sensor -> Adjust position proximity sensor and test run ok,,,,,Work Ability,Re-tighten nut lock sensor,Temporary,,,,,,,
11-12-25,10:30:44,KJ9136-1,Rack Guide Assembly,90,GSA,Gear Sub-Assy,Arthid,Camera check NG,E,12-11-25,10:40:44,10,10,1,10,Completed,Amarin,Camera unit,Bolt,Can't focus,Loose,Lock,"1. Check position camara NG 
2. Check support camera bolt loose 
3. Lock bolt support  and setting camera
4. test run machine ok",Bolt lock camera loose,Add loctite support camera ,Completed,MT,Setting Ability,PE trainin setting camera IV3,Completed,PE,2,0,0,5,3,0
11-12-25,14:50:07,ME9082,Belt Tension Adjustment,120,GSA,Gear Sub-Assy,Arthid,Pallet non sliding,M,12-11-25,15:00:26,10,10,1,10,Completed,Amarin,Pallet unit,Pallet,Can't sild,Sticky,Remove ,"1. Check pallet can't slide (Sticky)
2. Check bolt for nut runner fall in pallet
3. Take off bolt
4. Test run ok",Bolt for nut runner fall in pallet (PDT mistake),Request PDT make standaed opreating,Completed,PDT,Diagnosis,Make standard for PDT,Completed,PDT,0,0,0,5,5,0
11-12-25,15:45:38,ME9082,Belt Tension Adjustment,120,GSA,Gear Sub-Assy,Arthid,Clavis tension moter comniction error,M,12-11-25,16:30:58,45,45,1,45,Completed,Apisit,Clavis tension unit,Clavis,Can't start,Abnormal,Change,"1. Check cavis abnormal
2. Alternate cavis from out stock (Spare not have)
3. Test run machine ok",Clavis abnormal,Send information to maker for root cause analysis,Completed,PE,Spare Part,Add stock spare pare (Cacis),Temporary,PE,0,0,0,20,15,0
